k,trial,B0_1,B0_2,B0_3,B0_4,B0_5,B0_6,B0_7,B0_8,B0_9,B0_10,B0_11,B0_12,B0_13,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13
3,0,1000,1000,1000,989,806,411,130,51,40,39,39,39,39,0,0,0,0,4,134,301,349,356,357,357,357,357
3,1,1000,1000,1000,988,782,386,134,57,49,48,48,48,48,0,0,0,0,16,160,308,368,379,379,379,379,379
3,2,1000,1000,1000,992,776,340,148,55,47,45,45,45,45,0,0,0,0,10,161,289,341,349,350,350,350,350
3,3,1000,1000,1000,991,766,363,139,56,48,48,48,48,48,0,0,0,0,14,167,306,355,366,366,366,366,366
3,4,1000,1000,1000,985,772,345,130,59,44,43,43,43,43,0,0,0,0,5,160,275,315,326,328,328,328,328
3,5,1000,1000,999,986,749,366,122,59,49,44,44,44,44,0,0,0,0,4,167,316,364,375,377,377,377,377
3,6,1000,1000,1000,990,789,339,115,55,38,36,36,36,36,0,0,0,0,2,168,325,376,396,399,399,399,399
3,7,1000,1000,1000,991,774,373,135,65,46,44,44,44,44,0,0,0,0,5,146,269,324,345,348,348,348,348
3,8,1000,1000,1000,989,763,385,138,71,51,51,50,50,50,0,0,0,0,16,136,258,309,327,327,327,327,327
3,9,1000,1000,1000,984,782,375,150,65,51,49,49,49,49,0,0,0,0,6,160,282,342,364,366,366,366,366
3,10,1000,1000,1000,980,766,362,135,67,45,45,45,45,45,0,0,0,0,6,149,276,326,340,340,340,340,340
3,11,1000,1000,1000,991,801,370,142,65,55,54,54,54,54,0,0,0,0,7,139,267,314,318,319,319,319,319
3,12,1000,1000,1000,985,786,379,152,63,44,43,43,43,43,0,0,0,0,17,159,304,372,388,389,389,389,389
3,13,1000,1000,1000,987,787,360,135,67,52,49,49,49,49,0,0,0,0,8,175,288,340,350,350,350,350,350
3,14,1000,1000,1000,990,770,357,133,62,48,46,46,46,46,0,0,0,0,10,145,305,365,381,382,382,382,382
3,15,1000,1000,1000,983,771,391,130,59,49,48,48,48,48,0,0,0,0,13,148,278,329,339,340,340,340,340
3,16,1000,1000,1000,994,794,367,139,78,55,54,54,54,54,0,0,0,0,6,135,265,316,332,332,332,332,332
3,17,1000,1000,1000,989,782,384,123,53,41,34,34,34,34,0,0,0,0,7,160,292,342,352,356,356,356,356
3,18,1000,1000,1000,989,770,349,140,66,48,48,48,48,48,0,0,0,0,11,180,296,348,357,357,357,357,357
3,19,1000,1000,1000,988,776,376,133,56,43,42,42,42,42,0,0,0,0,8,153,283,339,355,355,355,355,355
3,20,1000,1000,1000,979,791,359,142,62,51,44,44,44,44,0,0,0,0,12,152,301,358,370,375,375,375,375
3,21,1000,1000,1000,987,760,330,131,57,43,40,40,40,40,0,0,0,0,10,184,301,356,373,373,373,373,373
3,22,1000,1000,1000,986,756,366,143,57,48,44,44,44,44,0,0,0,0,15,154,283,341,353,355,355,355,355
3,23,1000,1000,1000,989,795,381,169,72,56,54,54,54,54,0,0,0,0,6,140,285,336,344,344,344,344,344
3,24,1000,1000,1000,990,800,381,146,66,47,47,47,47,47,0,0,0,0,4,152,305,364,380,380,380,380,380
3,25,1000,1000,1000,991,776,329,131,74,55,53,53,53,53,0,0,0,0,8,182,302,343,360,361,361,361,361
3,26,1000,1000,1000,983,775,397,145,62,48,47,47,47,47,0,0,0,0,14,139,294,343,358,361,361,361,361
3,27,1000,1000,1000,986,771,364,140,62,51,47,47,47,47,0,0,0,0,14,165,282,340,355,359,359,359,359
3,28,1000,1000,1000,988,766,381,145,66,44,42,42,42,42,0,0,0,0,16,158,287,327,341,341,341,341,341
3,29,1000,1000,1000,987,735,340,133,58,41,41,41,41,41,0,0,0,0,8,161,282,335,351,351,351,351,351
4,0,1000,1000,1000,989,801,402,116,35,24,23,23,23,23,0,0,0,0,6,228,511,597,618,620,620,620,620
4,1,1000,1000,1000,988,780,373,113,38,30,29,29,29,29,0,0,0,0,22,252,508,615,632,633,633,633,633
