Trial ID: 17
Subsample Size: 1000
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,356,219,117,31,6,0,0,0,0,0,0,0,0
4,676,217,5,0,0,0,0,0,0,0,0,0,0
5,863,45,0,0,0,0,0,0,0,0,0,0,0
6,913,6,0,0,0,0,0,0,0,0,0,0,0
7,882,1,0,0,0,0,0,0,0,0,0,0,0
8,824,0,0,0,0,0,0,0,0,0,0,0,0
9,686,0,0,0,0,0,0,0,0,0,0,0,0
10,541,0,0,0,0,0,0,0,0,0,0,0,0
11,383,0,0,0,0,0,0,0,0,0,0,0,0
12,240,0,0,0,0,0,0,0,0,0,0,0,0
13,162,0,0,0,0,0,0,0,0,0,0,0,0
14,112,0,0,0,0,0,0,0,0,0,0,0,0
15,88,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 1 ANALYSIS ===
--- Digit 1: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 1: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,241,143,98,55,14,1,0,0,0,0,0,0,0
4,488,163,24,0,0,0,0,0,0,0,0,0,0
5,576,74,0,0,0,0,0,0,0,0,0,0,0
6,579,12,0,0,0,0,0,0,0,0,0,0,0
7,533,2,0,0,0,0,0,0,0,0,0,0,0
8,471,1,0,0,0,0,0,0,0,0,0,0,0
9,382,1,0,0,0,0,0,0,0,0,0,0,0
10,276,1,0,0,0,0,0,0,0,0,0,0,0
11,191,0,0,0,0,0,0,0,0,0,0,0,0
12,123,0,0,0,0,0,0,0,0,0,0,0,0
13,79,0,0,0,0,0,0,0,0,0,0,0,0
14,54,0,0,0,0,0,0,0,0,0,0,0,0
15,43,0,0,0,0,0,0,0,0,0,0,0,0

########################################

=== DIGIT 2 ANALYSIS ===
--- Digit 2: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,2,2,2,2,2,2,2,2,2,2,2,2,2
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
