Trial ID: 0
Subsample Size: 1500
========================================

=== DIGIT 0 ANALYSIS ===
--- Digit 0: B0 (Components) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1

--- Digit 0: B1 (Holes) ---
k,1,2,3,4,5,6,7,8,9,10,11,12,13
3,571,374,201,44,2,0,0,0,0,0,0,0,0
4,1076,342,9,0,0,0,0,0,0,0,0,0,0
5,1315,79,0,0,0,0,0,0,0,0,0,0,0
6,1422,7,0,0,0,0,0,0,0,0,0,0,0
7,1355,3,0,0,0,0,0,0,0,0,0,0,0
8,1243,1,0,0,0,0,0,0,0,0,0,0,0
9,1074,0,0,0,0,0,0,0,0,0,0,0,0
10,832,0,0,0,0,0,0,0,0,0,0,0,0
11,616,0,0,0,0,0,0,0,0,0,0,0,0
12,418,0,0,0,0,0,0,0,0,0,0,0,0
13,273,0,0,0,0,0,0,0,0,0,0,0,0
14,210,0,0,0,0,0,0,0,0,0,0,0,0
15,165,0,0,0,0,0,0,0,0,0,0,0,0

########################################

